ID,site,hhedu,hhhage,hhhsex,hhethnic,hhsize,u05,povline,windex3,windex5,FS_score,FS
13548,korogocho,primary,30,male,Kikuyu,7,3,yes,middle,fourth,3,Severely insecure
13549,viwandani,secondary,25,male,Kamba,3,1,yes,highest,fourth,3,Severely insecure
13555,viwandani,primary,31,male,Kikuyu,4,0,yes,highest,highest,0,Secure
13556,viwandani,primary,54,female,Kamba,2,0,no_(2),lowest,lowest,0,Secure
13561,viwandani,secondary,23,female,Luhya,2,1,no_(2),highest,highest,0,Secure
13563,viwandani,secondary,29,male,Kamba,3,0,no_(2),middle,fourth,0,Secure
13564,viwandani,primary,49,male,Kamba,2,0,no_(2),middle,fourth,0,Secure
13565,viwandani,primary,26,male,Kikuyu,3,1,no_(2),highest,highest,0,Secure
13567,korogocho,primary,55,male,Luhya,5,0,yes,highest,fourth,0,Secure
13568,viwandani,secondary,33,male,Kamba,3,1,yes,middle,fourth,0,Secure
13569,korogocho,primary,53,male,Kikuyu,5,0,yes,highest,highest,0,Secure
13570,viwandani,primary,29,female,Kamba,3,0,no_(2),highest,fourth,0,Secure
13572,korogocho,secondary,28,male,Kamba,3,1,yes,middle,fourth,1,Moderately insecure
13573,viwandani,secondary,24,male,Kisii,4,2,no_(2),middle,fourth,0,Secure
13574,korogocho,secondary,18,male,Kikuyu,4,0,yes,middle,second,3,Severely insecure
13579,korogocho,secondary,52,male,Kikuyu,2,0,yes,lowest,lowest,2,Moderately insecure
13580,viwandani,primary,35,male,Luhya,4,0,no_(2),highest,fourth,3,Severely insecure
13581,korogocho,secondary,34,male,Kikuyu,4,2,yes,highest,highest,0,Secure
13582,viwandani,secondary,27,male,Kamba,3,1,no_(2),highest,fourth,0,Secure
13584,korogocho,primary,41,male,Kikuyu,1,0,no_(2),lowest,second,2,Moderately insecure
13585,viwandani,primary,51,female,Kamba,2,0,no_(2),highest,highest,0,Secure
13586,viwandani,secondary,27,male,Kisii,3,1,no_(2),highest,fourth,1,Moderately insecure
13590,viwandani,primary,26,male,Kamba,1,0,yes,highest,highest,3,Severely insecure
13591,viwandani,secondary,45,male,Kamba,5,1,yes,highest,highest,0,Secure
13593,viwandani,secondary,25,male,Kamba,3,1,no_(2),highest,fourth,0,Secure
13594,korogocho,primary,38,male,Luhya,4,1,no_(2),highest,highest,1,Moderately insecure
